"","date","time","subject","blockcode","blocknum_and_trialnum","trialcode","primestim","targetstim","correct","latency","exclude_based_on_trial_count"
"235","23.06.22",12:35:27,469672453,"test","2_10","prime_negative",2,72,0,1317,"include"
"236","23.06.22",12:35:27,469672453,"test","2_11","prime_negative",4,36,0,557,"include"
"237","23.06.22",12:35:27,469672453,"test","2_12","prime_positive",2,39,0,2754,"include"
"238","23.06.22",12:35:27,469672453,"test","2_13","prime_negative",1,51,1,714,"include"
"239","23.06.22",12:35:27,469672453,"test","2_14","prime_negative",3,65,1,579,"include"
"240","23.06.22",12:35:27,469672453,"test","2_15","prime_negative",4,37,0,1023,"include"
"241","23.06.22",12:35:27,469672453,"test","2_16","prime_positive",3,5,0,827,"include"
"242","23.06.22",12:35:27,469672453,"test","2_17","prime_positive",3,32,0,430,"include"
"243","23.06.22",12:35:27,469672453,"test","2_18","prime_negative",3,29,1,714,"include"
"244","23.06.22",12:35:27,469672453,"test","2_19","prime_positive",1,63,0,1027,"include"
"245","23.06.22",12:35:27,469672453,"test","2_20","prime_negative",1,44,1,1853,"include"
"246","23.06.22",12:35:27,469672453,"test","2_21","prime_negative",2,62,1,1207,"include"
"247","23.06.22",12:35:27,469672453,"test","2_22","prime_positive",4,20,1,439,"include"
"248","23.06.22",12:35:27,469672453,"test","2_23","prime_negative",1,19,1,344,"include"
"249","23.06.22",12:35:27,469672453,"test","2_24","prime_positive",2,1,0,446,"include"
"250","23.06.22",12:35:27,469672453,"test","2_25","prime_negative",4,66,1,1272,"include"
"251","23.06.22",12:35:27,469672453,"test","2_26","prime_negative",3,4,1,536,"include"
"252","23.06.22",12:35:27,469672453,"test","2_27","prime_negative",2,45,1,663,"include"
"253","23.06.22",12:35:27,469672453,"test","2_28","prime_negative",2,70,1,627,"include"
"254","23.06.22",12:35:27,469672453,"test","2_29","prime_positive",4,50,1,305,"include"
"255","23.06.22",12:35:27,469672453,"test","2_30","prime_positive",3,68,1,1645,"include"
"256","23.06.22",12:35:27,469672453,"test","2_31","prime_negative",4,33,1,587,"include"
"257","23.06.22",12:35:27,469672453,"test","2_32","prime_positive",1,15,0,723,"include"
"258","23.06.22",12:35:27,469672453,"test","2_33","prime_positive",2,46,0,538,"include"
"259","23.06.22",12:35:27,469672453,"test","2_34","prime_positive",2,47,0,329,"include"
"260","23.06.22",12:35:27,469672453,"test","2_35","prime_positive",1,64,0,443,"include"
"261","23.06.22",12:35:27,469672453,"test","2_36","prime_positive",4,8,1,402,"include"
